POIID,POIName,Telno,Address,X,Y,Yunlin_Town,Source,FaxNo,OP_DAY,OP_TIME,SpecialStore_Kind,廁所,ANKER,ATM,BEAMS DESIGN,BEAMS DESIGN專區,CITY系列熱燕麥飲,EC自助取件,K·Seren,Mister Donut甜甜圈,OPEN Bar,OPEN iECO循環杯,OPEN! PLAZA專櫃,OPEN! STORE,Watts均一價59元,gogoro,ibon,ibon WiFi,不可思議咖啡,停車場,冷凍交貨便,千禧血壓站,博客來,原賞熱壓土司,哈燒,嚴選素材冷凍鮮物,天素地蔬,天素地蔬複合店,寵物生活專區,座位區,思樂冰,所長茶葉蛋,拋棄式隱形眼鏡,特選咖啡,現烤地瓜,現萃茶,現蒸地瓜,瓜地馬拉豆,甜點專櫃,生鮮蔬菜,精品咖啡,精品威士忌咖啡,精品秤重散糖,糖果屋,美妝,自助微波,茶BAR(多元複合),蒸玉米,蒸食機,藥商執照(快篩試劑),行動電源租賃,超值酒藏,酷聖石霜淇淋,雪淋霜霜淇淋,霹靂DVD,饗喫鍋,高效智慧回收機,黃金滷蛋,Store_URL
850119,北港,(05)7827717,雲林縣北港鎮民主路106號,120.301638,23.568823,北港鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)7825695,,24H,,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,
293079,古坑水碓,(05)5828016,雲林縣古坑鄉水碓村水碓1之1號,120.559576,23.660795,古坑鄉,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5828050,,24H,,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,
251868,四湖,(05)7875093,雲林縣四湖鄉四湖村中山東路113號,120.225918,23.637504,四湖鄉,7-ELEVEN E-Map / EMapSDK SearchStore,(05)7875084,,24H,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,
873400,民樂,(05)7838949,雲林縣北港鎮華勝里28鄰民樂路39號,120.297532,23.573697,北港鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)7731175,,24H,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,
130202,永昌,(05)5321369,雲林縣斗六市中山路269號,120.538866,23.702844,斗六市,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5362637,,24H,,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,
283739,永欣,(05)5517759,雲林縣斗六市斗六三路6號,120.538703,23.718127,斗六市,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5517835,,06:00 ~ 23:59,,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,
257154,永建,(05)5362434,雲林縣斗六市建成路97號99號,120.533949,23.704028,斗六市,7-ELEVEN E-Map / EMapSDK SearchStore,,,24H,,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,
952349,永茂,(05)6910642,雲林縣麥寮鄉中興村豐安路951號1樓,120.246331,23.797162,麥寮鄉,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6911283,,24H,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,
241850,永晟,(05)5878055,雲林縣西螺鎮新安里新興路488號,120.452638,23.786811,西螺鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5872259,,24H,,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,
200332,永業,(05)5878095,雲林縣西螺鎮振興里振興215號,120.473931,23.784464,西螺鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5876265,,06:00 ~ 23:59,,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,
