編號,行政區,商家名稱,入選品名,商家地址,X,Y,相關網站,營業時間,經緯度座標,推薦來源,備註
81,虎尾鎮,日光下的貓,雲林米香花生奶舒芙蕾,632雲林縣虎尾鎮林森路二段350號,120.438950,23.714526,https://www.facebook.com/profile.php?id=100063990422152,平日 11:00–19:00 / 假日 10:30–20:00 (週三休),"23.714526, 120.438950",雲林100碗,搬遷至林森路二段350號
82,虎尾鎮,四川樂山,麻辣燙,632雲林縣虎尾鎮和平路107號,120.433240,23.708210,https://www.ubereats.com/tw/store/%E5%9B%9B%E5%B7%9D%E6%A8%82%E5%B1%B1%E9%BA%BB%E8%BE%A3%E7%87%99-%E9%9B%B2%E6%9E%97%E5%BE%A9%E8%88%88%E5%BA%97/b2yUtpZZXKWCRorp8VD9bQ,16:00–23:00 (依店家現場公告),"23.708210, 120.433240",雲林100碗,營業時間不固定
83,虎尾鎮,怪咖咖啡,咖啡汽水,632雲林縣虎尾鎮建國一村83-6號,120.420653,23.716125,https://www.facebook.com/guaicoffee/,三至五 10:00–17:00 / 週末 13:00–18:00 (週一二休),"23.716125, 120.420653",雲林100碗,進駐建國眷村
84,虎尾鎮,披薩老爹虎尾總店,任性小孩,632雲林縣虎尾鎮立德路129號,120.436150,23.704250,https://www.facebook.com/pizzapapa2015/,"11:00–14:00, 17:00–21:00 (週一二休)","23.704250, 120.436150",雲林100碗,修正地址為立德路
85,虎尾鎮,抱糰料理工作室,季節鹹飯,632雲林縣虎尾鎮建國一村83號丁棟,120.420655,23.716120,https://www.facebook.com/profile.php?id=61550421847384,依店家粉專公告為主,"23.716120, 120.420655",雲林100碗,營業時間不固定
86,虎尾鎮,虎珍堂,虎月燒,632雲林縣虎尾鎮中山路13號,120.434310,23.706110,https://www.hjtang.com.tw/,週一至週日 10:00–18:30,"23.706110, 120.434310",雲林100碗,
87,虎尾鎮,海中寶餐廳,苦茶油雞,632雲林縣虎尾鎮文科路166號,120.438515,23.722810,https://www.facebook.com/HaiZhongBao/,09:00–17:00 (或依現場公告為主),"23.722810, 120.438515",雲林100碗,營業時間不固定
88,虎尾鎮,偶鵝嚐嚐,鵝肉專賣店-虎尾店,632雲林縣虎尾鎮成德街102號,120.443150,23.713500,https://www.facebook.com/profile.php?id=61550354077164,"11:00–14:00, 17:00–20:00 (週四休)","23.713500, 120.443150",雲林100碗,修正地址門牌
89,虎尾鎮,媽祖埔豆腐張,麻辣臭豆腐鴨血煲,632雲林縣虎尾鎮林森路二段471號,120.441235,23.719615,http://www.mzp1991.com/,"11:00–14:00, 17:00–20:30","23.719615, 120.441235",雲林100碗,
90,虎尾鎮,樂包子 LeBaozi,鮮肉包,632雲林縣虎尾鎮林森路二段25號,120.436210,23.712150,https://www.lebaozi.com.tw/,週一至週日 06:30–22:00,"23.712150, 120.436210",雲林100碗,
